signal_date,entry_date,exit_date,ticker,zone_latent,zone_obs,zone_kind,P_obs,P_start,energy,U,L,y_start,p_up,p_down,p_none,a,slope,sigma
2025-12-23,2025-12-24,2026-01-08,QQQ,9,9,tube,622.1099853515624,622.1099853515624,0.16209944560544085,626.7712315180659,612.6434262439601,0.34515874128737656,0.6354545454545455,0.3552727272727273,0.00927272727272721,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2025-12-23,2025-12-24,2026-01-08,SPY,9,10,tube,687.9600219726561,677.522062771694,0.31545024618750067,683.660823529188,675.5508289678072,-0.5116753808985407,0.5365454545454545,0.4616363636363636,0.0018181818181818299,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2025-12-24,2025-12-26,2026-01-09,IONQ,7,8,tube,49.819999694824226,43.9135926801548,0.23074376338600178,47.812485081223635,43.1879972239829,-0.6724223289454995,0.3552727272727273,0.6425454545454545,0.0021818181818181737,0.003131206510426882,0.000916490998500395,0.06552830331158367
2025-12-24,2025-12-26,2026-01-09,NVTS,9,7,tube,7.65999984741211,13.756194899047111,0.0,14.06678173209369,9.105902189385482,0.8973226273212332,0.7807272727272727,0.048,0.1712727272727273,0.00035375180095277494,0.0005609041072951881,0.07703642987613801
2025-12-24,2025-12-26,2026-01-09,QQQ,9,9,tube,623.929992675781,623.929992675781,0.0633611033153951,626.7712315180659,613.4146663327465,0.5781479928734321,0.7032727272727273,0.2892727272727273,0.007454545454545436,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2025-12-24,2025-12-26,2026-01-09,SPY,9,10,tube,690.3800048828127,679.2736829563928,0.1865380897546569,684.8067934596623,676.7412045830953,-0.36947315314328866,0.5770909090909091,0.42018181818181816,0.002727272727272745,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2025-12-26,2025-12-29,2026-01-12,IONQ,7,7,tube,46.0,46.0,1.5308159678430042,47.91995100223766,43.1879972239829,0.21341149251975855,0.5789090909090909,0.41854545454545455,0.0025454545454545174,0.003131206510426882,0.000916490998500395,0.06552830331158367
2025-12-26,2025-12-29,2026-01-12,NVTS,9,7,tube,7.4000000953674325,12.491107520671989,0.1801085383515509,14.06678173209369,9.105902189385482,0.4536631631173192,0.5161818181818182,0.1358181818181818,0.348,0.00035375180095277494,0.0005609041072951881,0.07703642987613801
2025-12-26,2025-12-29,2026-01-12,QQQ,9,9,tube,623.8900146484373,623.8900146484373,3.0481378129401744e-05,626.7712315180659,615.9777802490668,0.46950756957792944,0.6507272727272727,0.3470909090909091,0.0021818181818181737,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2025-12-26,2025-12-29,2026-01-12,SPY,9,10,tube,690.3099975585938,679.808368174701,0.00015563767869070338,685.0316510056017,677.596746206833,-0.40278664972232114,0.5603636363636364,0.4381818181818182,0.0014545454545454306,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
