date,label,cash,gross_exposure,equity,cash_weight
2023-04-28,SPY_buyhold,0.0,113967.50946397227,113967.50946397227,0.0
2023-05-01,SPY_buyhold,0.0,113852.42641149783,113852.42641149783,0.0
2023-05-02,SPY_buyhold,0.0,112572.83805590522,112572.83805590522,0.0
2023-05-03,SPY_buyhold,0.0,111800.13508475045,111800.13508475045,0.0
2023-05-04,SPY_buyhold,0.0,111008.26315937328,111008.26315937328,0.0
2023-05-05,SPY_buyhold,0.0,113063.29290815243,113063.29290815243,0.0
2023-05-08,SPY_buyhold,0.0,113093.43288228693,113093.43288228693,0.0
2023-05-09,SPY_buyhold,0.0,112597.49252008366,112597.49252008366,0.0
2023-05-10,SPY_buyhold,0.0,113123.59018820644,113123.59018820644,0.0
2023-05-11,SPY_buyhold,0.0,112926.29381353133,112926.29381353133,0.0
2023-05-12,SPY_buyhold,0.0,112778.34103078314,112778.34103078314,0.0
2023-05-15,SPY_buyhold,0.0,113167.41360660728,113167.41360660728,0.0
2023-05-16,SPY_buyhold,0.0,112411.15849942814,112411.15849942814,0.0
2023-05-17,SPY_buyhold,0.0,113775.73326282323,113775.73326282323,0.0
2023-05-18,SPY_buyhold,0.0,114871.75201746961,114871.75201746961,0.0
2023-05-19,SPY_buyhold,0.0,114704.5869510365,114704.5869510365,0.0
2023-05-22,SPY_buyhold,0.0,114751.16612325412,114751.16612325412,0.0
2023-05-23,SPY_buyhold,0.0,113463.33650388867,113463.33650388867,0.0
2023-05-24,SPY_buyhold,0.0,112641.3159384845,112641.3159384845,0.0
2023-05-25,SPY_buyhold,0.0,113616.80079427043,113616.80079427043,0.0
2023-05-26,SPY_buyhold,0.0,115088.20868047462,115088.20868047462,0.0
2023-05-30,SPY_buyhold,0.0,115132.04076476797,115132.04076476797,0.0
2023-05-31,SPY_buyhold,0.0,114493.61579798754,114493.61579798754,0.0
2023-06-01,SPY_buyhold,0.0,115581.4019547536,115581.4019547536,0.0
2023-06-02,SPY_buyhold,0.0,117252.86196944967,117252.86196944967,0.0
