date,label,cash,gross_exposure,equity,cash_weight
2024-05-23,equal_weight,0.0,153154.31014429065,153154.31014429065,0.0
2024-05-24,equal_weight,0.0,155163.93404818687,155163.93404818687,0.0
2024-05-28,equal_weight,0.0,153914.17225868622,153914.17225868622,0.0
2024-05-29,equal_weight,0.0,152516.1664607331,152516.1664607331,0.0
2024-05-30,equal_weight,0.0,156615.52038591888,156615.52038591888,0.0
2024-05-31,equal_weight,0.0,155327.0520119277,155327.0520119277,0.0
2024-06-03,equal_weight,0.0,155975.66840800492,155975.66840800492,0.0
2024-06-04,equal_weight,0.0,156224.7513916514,156224.7513916514,0.0
2024-06-05,equal_weight,0.0,162890.73179754862,162890.73179754862,0.0
2024-06-06,equal_weight,0.0,163155.57586419987,163155.57586419987,0.0
2024-06-07,equal_weight,0.0,161210.22499748517,161210.22499748517,0.0
2024-06-10,equal_weight,0.0,164236.00861237914,164236.00861237914,0.0
2024-06-11,equal_weight,0.0,162720.13173456877,162720.13173456877,0.0
2024-06-12,equal_weight,0.0,166813.07590224792,166813.07590224792,0.0
2024-06-13,equal_weight,0.0,163975.604227037,163975.604227037,0.0
2024-06-14,equal_weight,0.0,161890.8024638247,161890.8024638247,0.0
2024-06-17,equal_weight,0.0,160914.75319236325,160914.75319236325,0.0
2024-06-18,equal_weight,0.0,158778.89645083484,158778.89645083484,0.0
2024-06-20,equal_weight,0.0,155325.89437761364,155325.89437761364,0.0
2024-06-21,equal_weight,0.0,155407.71568489127,155407.71568489127,0.0
2024-06-24,equal_weight,0.0,153254.264136521,153254.264136521,0.0
2024-06-25,equal_weight,0.0,151700.69316636573,151700.69316636573,0.0
2024-06-26,equal_weight,0.0,153383.21804508916,153383.21804508916,0.0
2024-06-27,equal_weight,0.0,155633.7357635572,155633.7357635572,0.0
2024-06-28,equal_weight,0.0,154597.20626351202,154597.20626351202,0.0
2024-07-01,equal_weight,0.0,153640.53359190866,153640.53359190866,0.0
2024-07-02,equal_weight,0.0,156672.64299550705,156672.64299550705,0.0
2024-07-03,equal_weight,0.0,157821.8676100948,157821.8676100948,0.0
2024-07-05,equal_weight,0.0,160580.77085499914,160580.77085499914,0.0
2024-07-08,equal_weight,0.0,164862.5000247846,164862.5000247846,0.0
2024-07-09,equal_weight,0.0,165353.63226301112,165353.63226301112,0.0
2024-07-10,equal_weight,0.0,170727.7589544007,170727.7589544007,0.0
2024-07-11,equal_weight,0.0,168154.4136530797,168154.4136530797,0.0
2024-07-12,equal_weight,0.0,172823.50095614835,172823.50095614835,0.0
2024-07-15,equal_weight,0.0,176051.1607300822,176051.1607300822,0.0
2024-07-16,equal_weight,0.0,177787.3099794426,177787.3099794426,0.0
2024-07-17,equal_weight,0.0,169981.54245233716,169981.54245233716,0.0
2024-07-18,equal_weight,0.0,164001.85645015154,164001.85645015154,0.0
2024-07-19,equal_weight,0.0,157948.55076461597,157948.55076461597,0.0
2024-07-22,equal_weight,0.0,163608.7823305433,163608.7823305433,0.0
2024-07-23,equal_weight,0.0,164555.08310977404,164555.08310977404,0.0
2024-07-24,equal_weight,0.0,156678.86152348982,156678.86152348982,0.0
2024-07-25,equal_weight,0.0,157478.6292828801,157478.6292828801,0.0
2024-07-26,equal_weight,0.0,158633.3587853131,158633.3587853131,0.0
2024-07-29,equal_weight,0.0,157636.9330729513,157636.9330729513,0.0
2024-07-30,equal_weight,0.0,153472.18966029407,153472.18966029407,0.0
2024-07-31,equal_weight,0.0,158311.43114427003,158311.43114427003,0.0
2024-08-01,equal_weight,0.0,150257.09938772727,150257.09938772727,0.0
2024-08-02,equal_weight,0.0,145197.43893786304,145197.43893786304,0.0
2024-08-05,equal_weight,0.0,138386.65358344797,138386.65358344797,0.0
2024-08-06,equal_weight,0.0,143866.07496992362,143866.07496992362,0.0
2024-08-07,equal_weight,0.0,140877.1802515428,140877.1802515428,0.0
2024-08-08,equal_weight,0.0,143691.0909040831,143691.0909040831,0.0
2024-08-09,equal_weight,0.0,142883.82193978463,142883.82193978463,0.0
2024-08-12,equal_weight,0.0,139330.72363579355,139330.72363579355,0.0
2024-08-13,equal_weight,0.0,145973.12552720623,145973.12552720623,0.0
2024-08-14,equal_weight,0.0,144601.3996317343,144601.3996317343,0.0
2024-08-15,equal_weight,0.0,149072.80533980788,149072.80533980788,0.0
2024-08-16,equal_weight,0.0,148068.46614909402,148068.46614909402,0.0
2024-08-19,equal_weight,0.0,149660.30272860735,149660.30272860735,0.0
2024-08-20,equal_weight,0.0,147461.49093237647,147461.49093237647,0.0
2024-08-21,equal_weight,0.0,151926.5318656073,151926.5318656073,0.0
2024-08-22,equal_weight,0.0,147364.22678232094,147364.22678232094,0.0
2024-08-23,equal_weight,0.0,149486.54871328454,149486.54871328454,0.0
2024-08-26,equal_weight,0.0,150065.8508774465,150065.8508774465,0.0
2024-08-27,equal_weight,0.0,148691.3662596851,148691.3662596851,0.0
2024-08-28,equal_weight,0.0,144730.25383022166,144730.25383022166,0.0
2024-08-29,equal_weight,0.0,148334.20347852045,148334.20347852045,0.0
2024-08-30,equal_weight,0.0,148648.5297788087,148648.5297788087,0.0
2024-09-03,equal_weight,0.0,139047.60873932816,139047.60873932816,0.0
2024-09-04,equal_weight,0.0,138400.19787567965,138400.19787567965,0.0
2024-09-05,equal_weight,0.0,137297.55470981283,137297.55470981283,0.0
2024-09-06,equal_weight,0.0,133226.45280635467,133226.45280635467,0.0
2024-09-09,equal_weight,0.0,132324.34989098,132324.34989098,0.0
2024-09-10,equal_weight,0.0,134578.95214138244,134578.95214138244,0.0
2024-09-11,equal_weight,0.0,139655.2865674524,139655.2865674524,0.0
2024-09-12,equal_weight,0.0,138951.32511542313,138951.32511542313,0.0
2024-09-13,equal_weight,0.0,144483.88788194951,144483.88788194951,0.0
2024-09-16,equal_weight,0.0,144395.35276226958,144395.35276226958,0.0
2024-09-17,equal_weight,0.0,142714.0106710509,142714.0106710509,0.0
2024-09-18,equal_weight,0.0,140685.6987687765,140685.6987687765,0.0
2024-09-19,equal_weight,0.0,143416.8983524265,143416.8983524265,0.0
2024-09-20,equal_weight,0.0,142946.203308616,142946.203308616,0.0
2024-09-23,equal_weight,0.0,141439.1214513872,141439.1214513872,0.0
2024-09-24,equal_weight,0.0,143117.11905501405,143117.11905501405,0.0
2024-09-25,equal_weight,0.0,140099.40000286992,140099.40000286992,0.0
2024-09-26,equal_weight,0.0,146246.6653622142,146246.6653622142,0.0
2024-09-27,equal_weight,0.0,155473.0663109802,155473.0663109802,0.0
2024-09-30,equal_weight,0.0,149421.56678974372,149421.56678974372,0.0
2024-10-01,equal_weight,0.0,143768.12394068364,143768.12394068364,0.0
2024-10-02,equal_weight,0.0,151155.68243794568,151155.68243794568,0.0
2024-10-03,equal_weight,0.0,149846.49877730096,149846.49877730096,0.0
2024-10-04,equal_weight,0.0,151647.1299449606,151647.1299449606,0.0
2024-10-07,equal_weight,0.0,149598.62563924448,149598.62563924448,0.0
2024-10-08,equal_weight,0.0,151736.11760185935,151736.11760185935,0.0
2024-10-09,equal_weight,0.0,153940.8618611973,153940.8618611973,0.0
2024-10-10,equal_weight,0.0,153877.24180542154,153877.24180542154,0.0
